id,name,email,phone_number,age,gender,city,country,registration_date,last_login,purchase_amount,product_category,feedback_score
488,Jane Wilson,jane.wilson@test.org,'+1 676 808 3241,20a,Other, Philadelphia ,Narnia,15-05-2020,26-04-2022 03:37,473.32,Sports,2
606,Michael Wilson,michael.wilson@test.org,(894) 165-2917,31,Other,San Antonio,Canada,09/30/2024,24-01-2025 02:01,470.29,Food,4
3,Emily Jones,emily.jones@test.org,,68,Male,New York,UK,02/19/2023,06/24/2024 14:20,850.35,Home Goods,6
870,Sarah Jones,sarah.jones@mail.net,'+1 675 315 5029,70,Male,New York,Mexico,29-08-2022,27-03-2023 03:44,674.01,Home Goods,3
553,Mary Davis,mary.davis@example.com,'+1 830 264 7274,68,Male,Chicago,USA,12-07-2020,02/19/2024 23:43,18.08,Home Goods,4
365,Emily Brown,emily.brown@test.org,(028) 074-0190,43,Other,Phoenix,UK,14-11-2024,27-07-2025 13:41,694.78,Home Goods,5
275,Peter Smith,peter.smith@mail.net,8063337186,51,Otheer,,Australia,25-11-2024,08-12-2024 06:47,737.47,Home Goods,3
490,Sarah Williams,sarah.williams@test.org,280-961-1404,61,Female,Phoenix,Germany,02/14/2021,08-08-2024 01:42,106.07,Home Goods,1
839,Mary Williams,mary.williams@test.org,779-248-0878,48,Male,San Diego,Canada,12-05-2024,06/29/2025 07:47,649.88,B00ks,5
997,Jane Brown,jane.brown@mail.net,'+1 680 047 1741,32,Female,Phoenix,France,02-04-2023,07/15/2023 19:03,124.39,B00ks,2
887,Sarah Smith,sarah.smithexample.com,385-655-9878,24,Female,Chicago,Australia,25-05-2023,31-01-2024 23:34,302.66,Home Goods,1
637,Sarah Jones,sarah.jones@example.com,'+1 196 779 3485,,male,Philadelphia,Australia,05-09-2025,12-05-2025 03:54,922.92,Food,4
954,Michael Doe,michael.doe@mail.net,(694) 290-6848,35,Female,New York,India,01-10-2022,05/24/2023 16:11,46.65,Sports,4
95,Peter Smith,peter.smith@mail.net,567-427-9916,66,Female,New York,Australia,04-11-2022,05-07-2024 23:44,936.45,Home Goods,3
975,Jane Williams,jane.williamsexample.com,462-940-9655,42,Male,Chicago,USA,20-05-2020,12-05-2023 08:05,-10,Clothing,1
962,Emily Davis,emily.davis@example.com,3959998261,44a,Male,Chicago,USA,01/28/2024,10/14/2024 02:17,814.69,Electronics,1
650,Mary Williams,mary.williams@test.org,6854678562,18,Otheer, Los Angeles ,Germany,19-09-2023,,868,Clothing,10
507,Mary Brown,mary.brown@example.com,(594) 981-4327,27,Male,L0s Angeles,Germany,20-06-2022,21-01-2025 00:12,217.5,F00d,2
998,Michael Wilson,michael.wilson@example.coom,6116302185,-5,male,Houston,Mexico,08-07-2022,17-07-2022 06:29,898.1,Sports,5
528,Sarah Williams,sarah.williams@mail.net,'+1 951 571 0112,,Female,,India,10/28/2022,23-04-2025 22:08,805.55,Electronics,3
125,Michael Doe,michael.doe@mail.net,3785637395,28,Other,San Antonio,Canada,08-10-2023,12-10-2023 16:29,304.62,Sports,3
866,David Williams,david.williams@example.com,498-894-3964,52,Male,Philadelphia,Australia,17-03-2020,06-11-2024 01:57,489.38,Food,4
559,Mary Wilson,mary.wilson@example.com,6129018336,67,Female,Chicago,Germany,03-11-2022,06/23/2025 18:08,262.96,Books,1
764,Emily Brown,emily.brown@test.org,589118944,27,Male,Phoenix,Germany,07-03-2023,01-05-2025 22:55,977.99,Food,5
844,David Williams,david.williams@mail.net,,38,Male,San Antonio,Canada,20-05-2023,30-05-2024 14:32,817.53,Books,1
182,Peter Davis,peter.davis@example.com,'+1 978 754 0018,21,Female,San Antonio,USA,15-10-2022,02/25/2025 16:12,123.63,Food,4
848,Michael Brown,michael.brown@example.coom,6137815436,,Female,Los Angeles,UK,29-05-2020,11/20/2024 18:39,679.45,Sports,2
772,John Doe,john.doe@test.org,879-489-2349,30,Other,,Mexico,09/13/2023,06/18/2024 09:56,537.26,Home Goods,4
846,Peter Smith,peter.smith@example.com,'+1 737 281 9068!,40,Male,Los Angeles,Mexico,11/15/2024,09-04-2025 03:53,789.16,Clothing,1
544,Mary Davis,mary.davis@test.org,,29,Male,San Diego,Narnia,11-12-2021,03-10-2023 10:23,318.43,Food,4
221,Mary Brown,mary.brown@mail.net,029-992-4908a,62,Other,San Antonio,Australia,11-04-2023,18-04-2025 18:31,474.95,Sports,3
415,John Wilson,john.wilson@test.org,'+1 808 581 7540,42,Female, San Ant0ni0 ,India,26-02-2021,19-02-2022 15:41,792.12,Books,1
669,Jane Doe,jane.doe@example.com,'+1 359 827 4940,32,Other,Phoenix,UK,07/20/2020,17-06-2023 14:54,622.8,Electr0nics,5
762,Mary Miller,mary.miller@test.org,(142) 030-5794,70,Other,Phoenix,UK,27-06-2020,,-10,Electronics,5
425,Sarah Miller,sarah.miller@mail.net,163-968-2584,,Other,San Diego,Australia,22-09-2020,20-03-2021 01:47,626.97,Books,4
179,Michael Smith,michael.smith@test.org,(242) 865-7449,58,MALE,Phoenix,Francex,08/16/2023,28-06-2025 08:10,668.14,Food,3
787,Peter Smith,peter.smith@example.com,988-069-4889,67,MALE,Houston,UK,12-05-2024,18-09-2024 04:52,947.09,Home Goods,2
386,Jane Doe,jane.doe@mail.net,(510) 066-1949,39,Female,San Diego,India,05-08-2023,23-05-2024 12:22,462.36,Home Goods,5
731,Sarah Miller,sarah.miller@example.com,065-343-5667,23,Other,New York,UK,08-07-2020,15-07-2020 08:27,650.69,Electronics,3
535,John Wilson,john.wilson@mail.net,(746) 551-6576,34,Female,San Antonio,Mexico,19-08-2024,03-01-2025 23:09,603.5,Books,1
10,Michael Jones,michael.jones@test.org,'+1 273 637 0309,20,male,Philadelphia,USA,06/29/2025,05-07-2025 20:29,162.59,Home Goods,2
141,David Miller,david.miller@example.com,880-966-3495,31,Male,San Diego,India,25-02-2024,04/29/2025 20:54,494.24,Books,4
183,Jane Smith,jane.smith@mail.net,'+1 000 843 9873,63,Female,New York,UK,15-02-2025,25-05-2025 16:09,217.59,Clothing,5
434,Sarah Doe,sarah.doe@example.com,,57,Female,San Antonio,Germany,29-05-2021,05-08-2024 21:47,239.21,Electronics,5
938,John Wilson,john.wilson@example.com,642-301-4297,60,Female,San Antonio,UK,21-06-2023,10-09-2024 14:18,740.3,Home Goods,5
412,Peter Williams,peter.williams@example.com,'+1 281 806 5209,35,Male,,UK,26-03-2025,16-07-2025 10:55,362.9,Books,1
714,  Emily Doe  ,,'+1 344 577 9390,59,Female,Philadelphia,France,06-03-2021,02-02-2022 15:34,320.25,Books,4
205,Peter Brown,peter.brown@test.org,1156953157,37,Female,Houston,Australia,17-07-2025,20-07-2025 00:23,773.91,Home Goods,5
741,Jane Wilson,jane.wilson@mail.net,(161) 078-8992,61,female,New York,Mexico,17-07-2024,26-08-2024 23:14,468.36,Clothing,4
929,David Davis,david.davistest.org,(370) 600-3969,25,Male,Philadelphia,Australiax,29-10-2020,29-08-2024 02:28,796.7,Sports,3
566,Michael Wilson,michael.wilson@test.org,542-326-2010,62,Male,Houston,USA,22-07-2023,03-03-2024 23:10,746.94,Sports,2
418,John Smith,john.smith@test.org,148-435-5274,37,Other,Houston,India,24-06-2024,18-10-2024 17:16,401.2,Books,3
701,Sarah Miller,sarah.miller@test.org,(198) 423-2047,24,FEMALE,Los Angeles,India,25-08-2024,21-10-2024 17:40,518.44,Clothing,2
441,Sarah Williams,sarah.williams@test.org,'+1 057 043 4100,20,Male,Phoenix,France,06-03-2023,09-02-2025 05:45,219.56,H0me G00ds,4
895,Michael Wilson,michael.wilson@example.com,'+1 453 256 3610,41,Male,Phoenix,Australia,22-08-2024,10/19/2024 06:30,,Electronics,4
235,Jane Williams,jane.williams@example.com,'+1 889 307 9630,44,Female,San Antonio,Canada,01-02-2023,03-07-2025 16:04,880.33,Home Goods,1
608,David Brown,david.brown@mail.net,529-417-6854,59,Other,Los Angeles,UK,03/26/2024,27-05-2025 10:08,895.06,Books,2
521,Sarah Brown,sarah.brown@example.com,,35,Male,,Canada,01-10-2020,12/24/2023 20:27,646.17,Books,1
794,Mary Davis,mary.davis@mail.net,'+1 734 932 9154,36,Male,San Antonio,UK,19-01-2021,18-10-2023 15:52,938.84,Electr0nics,1
768,Mary Williams,mary.williams@example.com,'+1 592 970 5216,,Other,New York,Mexico,19-03-2024,06-01-2025 13:03,792.33,Books,5
34,Emily Jones,emily.jones@mail.net,'+1 674 532 9028,61,Other,San Antonio,UK,31-07-2020,10-12-2023 22:02,231.29,Electronics,4
250,Peter Smith,,(357) 698-8511,25,Female,Phoenix,India,30-08-2023,21-04-2024 02:49,444.68,Food,1
550,Michael Davis,michael.davis@test.org,,45,Female, Phoenix ,Canada,08/21/2023,03/24/2024 13:38,150.01,Books,5
534,  Peter Wilson  ,peter.wilson@example.com,'+1 144 798 9535,46,male,Chicago,Mexico,19-01-2020,23-06-2025 20:04,966.65,Food,5
48,Peter Miller,peter.miller@test.org,'+1 946 123 5518,25,male,Philadelphia,Australia,11/21/2024,07-02-2025 05:18,482.74,Sports,3
721,Peter Williams,peter.williams@example.com,(694) 077-6999,61,Other,Houston,India,05/18/2025,17-07-2025 09:30,790.82,Clothing,2
270,Emily Miller,emily.miller@mail.net,514-565-7745,31,Male,Philadelphia,France,11-05-2023,09/24/2024 08:58,935.5,Sports,2
19,Sarah Jones,sarah.jones@mail.net,(923) 627-3487,27,Female,Chicago,Germanyx,09-10-2020,29-08-2024 14:43,50000,Food,4
269,Sarah Miller,sarah.miller@test.org,7227535731,36,Male,Houston,UK,08-08-2024,04-05-2025 08:03,750.34,Clothing,5
548,Emily Davis,,137-982-0905,41,Female,San Diego,USA,31-12-2024,11-03-2025 19:48,787.28,Electronics,3
325,Michael Williams,michael.williams@test.org,600-172-8691,29,female,Chicago,Canada,06-02-2024,19-07-2024 03:23,245.75,Books,2
607,Michael Jones,michael.jones@example.com,(509) 518-8095,69,male,San Antonio,France,29-12-2024,09-07-2025 06:25,800.95,Home Goods,3
313,Jane Jones,jane.jones@mail.net,(397) 393-3370,23,Female,San Dieg0,France,05/21/2024,14-08-2024 21:17,36.02,Sports,2
865,Sarah Williams,,'+1 613 953 0483,47,Female, New York ,India,22-02-2024,18-07-2024 06:13,464.51,Books,3
500,Emily Doe,emily.doe@test.org,,33,female,New York,USA,26-02-2025,04/29/2025 22:16,177.31,Electronics,5
523,  Michael Davis  ,michael.davis@test.org,(447) 682-3725,31,Male,H0ust0n,Australia,12-04-2023,20-11-2024 02:49,511.34,Electronics,4
777,David Davis,david.davis@test.org,7179584465,54,Other,San Diego,Australiaq,28-06-2023,25-03-2024 07:05,650.18,Clothing,4
554,S@r@h Wilson,sarah.wilson@mail.net,918-289-4173,33,Male,Ph0enix,France,09/22/2022,20-05-2024 01:16,179.85,Books,4
196,Jane Smith,jane.smith@mail.net,974-310-4933,65,other,San Antonio,Canada,02-11-2021,07/27/2023 17:19,153.12,Food,4
971,Sarah Jones,sarah.jones@mail.net,(175) 329-9836,62,Other,Chicago,Canada,02/14/2022,,279.16,Electronics,3
104,Emily Miller,emily.miller@mail.net,(785) 456-4287,60,Otheer,,Australia,06-04-2023,06-10-2024 17:32,663.34,Food,3
927,Jane Davis,jane.davis@example.com,(276) 980-7805,65,Male,,Canada,12-11-2024,13-11-2024 13:43,723.85,Books,3
125,Michael Doe,michael.doe@mail.net,3785637395,28,Other,San Antonio,Canada,08-10-2023,12-10-2023 16:29,304.62,Sports,3
630,Sarah Miller,sarah.miller@example.com,580-864-7587,62,Feemalee,San Diego,Australia,19-03-2022,12/20/2024 20:16,614.05,Clothing,1
982,Jane Wilson,jane.wilson@mail.net,312-946-1345,57,Female,Philadelphia,UK,02-06-2025,27-06-2025 00:46,752.04,Books,5
166,Mary Jones,mary.jones@mail.net,(475) 611-7264,22a,Other,Los Angeles,USAz,08-11-2020,20-05-2022 17:06,514.67,Clothing,2
973,Peter Jones,peter.jones@mail.net,,50,Other,San Diego,Canada,02/28/2023,01-05-2025 17:54,198.29,Sports,5
419,David Jones,david.jones@example.com,'+1 009 407 9936,44,Female,Philadelphia,France,21-01-2021,10/22/2024 00:36,353.99,Clothing,5
184,Sarah Doe,sarah.doe@mail.net,971-186-0916,57,Other,San Antonio,France,30-01-2023,25-05-2024 11:20,424.02,Clothing,2
379,Sarah Jones,sarah.jones@example.com,'+1 266 214 6142,39,Male,San Antonio,Mexicoq,18-11-2023,11/28/2023 04:27,990.51,Books,3
931,John Brown,,5197395204,41,OTHER,Los Angeles,Canada,19-10-2024,24-05-2025 15:58,787.18,Sports,1
568,John Davis,john.davis@mail.net,,70,Male,New York,Germany,05/23/2021,05-12-2021 11:08,128.18,Books,4
860,Sarah Miller,sarah.miller@example.com,037-026-0785,28,Other,,India,30-04-2022,09/26/2022 20:30,772.86,Home Goods,2
579,Michael Brown,michael.brown@mail.net,211-310-7950!,26,Female,,USA,26-06-2025,,632.75,Home Goods,4
746,Emily Davis,emily.davis@example.com,'+1 459 214 4009,39,Male,Philadelphia,Germany,26-03-2025,02-04-2025 13:12,,Clothing,5
899,Peter Davis,peter.davis@example.com,(849) 579-8441,31,Male, San Diego ,Germany,29-11-2022,01/24/2023 20:43,198.59,Electronics,2
761,Jane Jones,jane.jones@example.com,8487523272,67,Female, New York ,France,02/14/2020,25-08-2024 15:20,481.07,Home Goods,4
867,Jane Wilson,jane.wilson@test.org,(342) 293-1723,,Other,San Antonio,Mexico,01-09-2020,08-07-2025 05:08,331.68,Clothing,1
662,John Williams,john.williams@mail.net,7234559112,37,Other,Chicago,UK,02/15/2023,11-06-2023 07:20,668.33,Books,2
257,Mary Davis,mary.davis@mail.net,048-292-6029,30,Female,New York,France,12/17/2021,27-06-2023 01:03,926.3,Books,4
543,Emily Miller,emily.miller@test.org,(439) 188-6443,52,Male,New York,UK,09-09-2021,08-02-2022 04:11,935.61,Sports,4
233,Mary Davis,mary.davis@mail.net,813-382-3164,59,Female,Chicago,USA,29-05-2025,06/23/2025 12:51,37.47,Electronics,5
204,Peter Brown,peter.brown@test.org,,28,Female,Los Angeles,USA,01-07-2020,01-05-2020 20:07,432.52,Electronics,2
857,Jane Brown,jane.brown@example.com,,47,Other,New York,France,03-04-2024,05/30/2025 21:05,604.93,Electronics,1
784,Peter Jones,peter.jones@test.org,,59,FEMALE,New York,Canada,05-12-2020,11-11-2022 03:06,260.69,Electronics,1
268,Peter Doe,peter.doe@test.org,153-008-6026,36,Otheer,Chicago,India,24-04-2021,09-07-2021 21:44,531.62,Home Goods,2
539,Peter Davis,peter.davis@test.org,(559) 082-4281a,26,Other,San Antonio,India,15-09-2020,04-05-2021 11:43,111.3,Sports,2
957,John Jones,john.jones@mail.net,(884) 970-5548,59,Female,San Antonio,France,18-02-2025,27-05-2025 03:41,66.76,Books,2
321,John Doe,john.doe@mail.net,'+1 931 215 2027,63,Other,Houston,USA,01/26/2024,28-04-2024 20:42,,Food,3
921,Emily Davis,emily.davis@test.org,'+1 894 739 8097,60,Other,Philadelphia,USA,02-11-2023,23-09-2024 23:34,34.56,Food,5
116,Michael Williams,,367-430-6516,28,Male,New York,USA,11/28/2020,12/25/2021 21:10,365.23,Books,1
797,David Brown,david.brown@example.com,399-407-2181,55,Female, San Diego ,USA,25-03-2024,13-06-2024 05:38,855.01,Home Goods,2
328,Mary Davis,mary.davis@test.org,023-492-7773,54,MALE,New York,Canada,02/25/2023,11-10-2023 02:05,17.31,Electronics,1
403,Jane Miller,jane.miller@test.org,5961235765,27,other,Chicago,Australia,14-11-2022,13-05-2023 21:42,413.4,Electronics,3
596,John Brown,john.brown@test.org,(479) 179-1739,66,FEMALE,Chicago,Canada,19-01-2022,03/16/2025 13:41,985.7,Books,2
891,Peter Davis,peter.davis@mail.net,(400) 835-2886,38,MALE,Los Angeles,Narnia,06/25/2025,05-07-2025 05:41,300.14,Clothing,3
911,John Williams,john.williams@example.com,(041) 295-6217,55,Female,Houston,Australia,19-05-2021,11-05-2021 22:06,92.09,Home Goods,1
465,Mary Brown,mary.brown@test.org,080-609-9178,21,Other,Los Angeles,USA,10-02-2022,28-03-2023 10:12,683.62,Electronics,0
917,D@vid Miller,david.miller@mail.net,3062744421,66,Female,San Antonio,Mexico,10-02-2024,23-05-2025 05:36,999.5,Books,5
255,John Miller,john.miller@test.org,262-456-9544,54,Other,Philadelphia,Germany,30-07-2023,11-12-2024 05:51,715.31,Home Goods,4
271,Mary Williams,mary.williams@mail.net,113-150-8543,58,female,New York,Germany,11-01-2020,03/17/2024 15:32,993.14,Food,10
130,Mary Brown,mary.brown@mail.net,961588389,61,Other,Houston,Australia,08-09-2022,25-10-2024 12:11,687.37,Books,2
664,Sarah Wilson,sarah.wilson@mail.net,(258) 404-9678,45a,Male,Chicago,Mexico,24-01-2021,22-05-2022 19:00,29,Sports,4
676,Emily Wilson,emily.wilson@mail.net,'+1 532 503 2160,38,female,San Diego,Australia,06/26/2023,11-05-2025 11:53,477.48,Sports,4
102,Emily Doe,emily.doe@mail.net,(647) 535-3503,69,Male,Phoenix,UK,07-03-2023,28-03-2024 21:17,,Electronics,2
864,Sarah Jones,,(526) 748-4140,34,Female,Phoenix,Mexico,05-10-2022,10-07-2025 02:31,209.7,Electronics,2
299,John Jones,john.jones@example.com,'+1 026 741 4434,51,Male,Chicago,Australia,12-10-2022,26-02-2024 12:45,966.61,Food,2
363,David Brown,david.brown@test.org,3455821834,54,female,Phoenix,Mexico,11-01-2020,17-07-2023 10:23,948.77,Electronics,5
639,John Davis,john.davis@mail.net,,55,Other,Houston,UK,08-11-2022,07-04-2024 22:32,202.15,Sports,5
227,Michael Smith,michael.smith@mail.net,'+1 748 111 9415,58,Other,,India,09/16/2023,08/23/2024 02:51,485.55,Sports,2
863,Peter Wilson,peter.wilson@example.com,661-739-6798,,Female,Houston,UK,15-08-2023,09-05-2024 13:39,31.38,Food,2
455,Peter Doe,peter.doe@test.org,(976) 653-6520,40,female,San Diego,France,07-11-2021,15-05-2025 23:04,910.86,Clothing,1
890,David Miller,david.miller@example.com,6985717419,54,Other,San Antonio,Canada,21-10-2021,30-01-2025 01:05,652.84,Sports,5
291,John Smith,john.smith@example.com,(693) 857-8222,34,Female,Phoenix,UK,01-10-2021,29-05-2023 20:19,835.69,Electronics,4
210,John Miller,john.miller@mail.net,180-772-1749,62,Female,San Antonio,Canada,24-05-2021,10-04-2023 11:27,743.95,Electronics,10
514,John Davis,john.davis@mail.net,(543) 651-4163,150,Other,San Diego,Mexico,02-01-2024,15-02-2025 08:37,140.4,Books,2
615,Mary Brown,mary.brown@mail.net,2322944317,46a,Other,San Diego,Mexico,06-07-2025,11-07-2025 08:17,472.01,Home Goods,3
829,Emily Brown,,9131355982,27,male,Phoenix,Australia,02/21/2024,25-05-2024 21:53,23.21,Books,1
253,Sarah Jones,sarah.jones@test.org,'+1 376 853 5554,34,Female,San Diego,USA,30-03-2024,15-09-2024 04:34,482.72,Books,2
801,Mary Davis,mary.davis@mail.net,(005) 842-0807,38,male,San Antonio,UK,12-05-2024,26-04-2025 04:31,986.36,Electronics,4
595,John Davis,john.davis@test.org,603-059-5492,35,Male,Phoenix,India,02-07-2020,,728.19,Home Goods,1
445,John Wilson,john.wilson@test.org,525-593-2862,,Male,Los Angeles,USA,30-05-2023,07-07-2024 13:54,951.66,Electronics,3
555,John Miller,john.miller@test.org,4012925391,62,Female,Los Angeles,Australiax,08-06-2021,15-10-2021 12:25,266.01,Clothing,2
827,John Smith,john.smith@example.com,549-662-6562,48,Male,,USA,03-10-2023,09-03-2025 02:12,755.57,Home Goods,4
939,Sarah Wilson,sarah.wilson@test.org,603-941-6382,57,MALE,,Germany,12-06-2022,18-01-2025 19:34,222.14,Books,2
173,David Davis,david.davis@mail.net,(002) 739-6918,63,Male,Houston,Germany,30-01-2025,03/31/2025 14:04,200.64,Food,5
259,Jane Miller,jane.miller@mail.net,,28,Other,New York,Atlantis,22-08-2023,06/13/2025 03:20,119.42,Clothing,3
964,Sarah Smith,sarah.smith@test.org,6737015202,42,Other,Phoenix,Canada,21-03-2020,07/25/2024 17:01,,Sports,1
364,  Peter Smith  ,,'+1 125 230 9418,18,OTHER,San Antonio,France,28-04-2020,09-06-2020 19:24,312.53,Clothing,1
75,Emily Miller,emily.miller@example.com,970-934-4040,24,Male,Philadelphia,Germany,06-02-2024,04/24/2025 15:24,105.06,Clothing,4
252,Sarah Doe,sarah.doe@example.com,9638029046,37,Other,Philadelphia,Australia,09-04-2021,13-07-2022 07:10,836.04,Food,1
713,Jane Miller,,608-019-6406,29,Male,Houston,USA,30-11-2022,,558.54,Sports,1
886,David Williams,david.williams@mail.net,'+1 623 623 4714,41,other,,Australia,27-02-2022,06/17/2022 17:07,112.91,Clothing,2
783,John Williams,john.williams@example.com,5208137127,63,FEMALE,New York,USA,10/20/2024,07/20/2025 03:39,453.26,Clothing,2
977,Michael Miller,michael.miller@mail.net,'+1 656 588 6242,-5,Female,San Antonio,USA,25-02-2025,03/13/2025 16:05,223.12,Electronics,4
729,Michael Williams,michael.williamsmail.net,8898241154,32,Female,San Antonio,India,12-01-2022,11/30/2023 19:24,349.93,Clothing,1
703,John Doe,john.doe@test.org,(581) 627-6635,59,Male,Houston,USA,04-10-2021,07/18/2024 16:49,545.49,Food,0
355,Michael Miller,michael.miller@test.org,(852) 611-8376,58,Other,,UK,05-02-2021,05-11-2022 11:04,482.35,Clothing,2
197,Sarah Wilson,sarah.wilson@mail.net,(778) 826-0037,,female,San Antonio,Australia,17-03-2021,12-03-2022 05:54,628.53,Electronics,1
483,John Smith,john.smith@example.com,(541) 920-8742,51,Female,Philadelphia,Germany,22-06-2022,10-04-2022 05:53,72.72,Electr0nics,2
599,Sarah Williams,sarah.williams@example.com,'+1 652 914 5620,36,Other,Houston,India,23-12-2020,,937.02,Books,5
147,Michael Williams,michael.williams@mail.net,6719084488,28,Other,Houston,Australiaz,13-11-2021,28-01-2024 11:47,332.65,Home Goods,3
945,Sarah Brown,sarah.brown@test.org,316-245-8336,19,male,New York,France,20-08-2020,06/24/2021 04:43,727.53,Electronics,3
821,John Jones,john.jones@mail.net,561416178,59,Male,L0s Angeles,Australia,02-05-2024,09-05-2024 11:00,820.37,Home Goods,5
915,Jane Wilson,jane.wilson@mail.net,604-239-5607,70,Other,,Canada,09-06-2021,12/16/2022 22:23,430.13,Electronics,3
394,Peter Smith,peter.smith@test.org,973-242-7317,,Other,Phoenix,Germany,05/21/2023,26-09-2023 03:41,631.64,Sports,4
69,D@vid Willi@ms,david.williams@mail.net,(715) 983-6072,57,Male,Chicago,UK,01-04-2023,07-01-2023 15:30,989.54,Electronics,4
999,Mary Wilson,mary.wilson@mail.net,'+1 907 212 2776,58,Female,Philadelphia,USA,09-07-2023,25-07-2025 04:40,830.26,Food,1
778,Michael Smith,michael.smith@example.com,254-919-9421,51,Other,New York,UK,27-12-2022,09-05-2024 08:58,519.03,Sports,2
869,Jane Williams,jane.williams@example.com,(599) 809-1174,33,other,,India,18-02-2021,19-10-2021 07:12,987.66,Sports,2
79,Emily Doe,emily.doe@mail.net,1286722623,41,Female,San Antonio,UK,20-05-2022,15-03-2023 07:57,963.5,Home Goods,1
